INSTNM,CITY,STABBR,ZIP,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,ADM_RATE,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,UGDS,UG,NPT4_PUB,NPT4_PRIV,NPT4_PROG,NPT4_OTHER,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,PFTFTUG1_EF,AGE_ENTRY,UNEMP_RATE,COUNT_NWNE_P10,COUNT_WNE_P10,MN_EARN_WNE_P10,MD_EARN_WNE_P10,COUNT_NWNE_P6,COUNT_WNE_P6,MN_EARN_WNE_P6,MD_EARN_WNE_P6,COUNT_WNE_INC1_P6,COUNT_WNE_INC2_P6,COUNT_WNE_INC3_P6,COUNT_WNE_INDEP0_INC1_P6,COUNT_WNE_INDEP0_P6,COUNT_NWNE_P7,COUNT_WNE_P7,MN_EARN_WNE_P7,SD_EARN_WNE_P7,COUNT_NWNE_P8,COUNT_WNE_P8,MN_EARN_WNE_P8,MD_EARN_WNE_P8,COUNT_NWNE_P9,COUNT_WNE_P9,MN_EARN_WNE_P9,SD_EARN_WNE_P9,ICLEVEL
Alabama A & M University,Normal,AL,35762,1,3,4,1,1,5,34.783368,-86.568502,18,10,13,0.5256,424,420,420,17,17,17,NULL,827,4206,4380,15229,NULL,NULL,NULL,21475,NULL,9096,16596,NULL,9427,0.8578,20.50256816,4.840000153,239,1601,35000,30300,119,1158,25600,22000,605,344,209,442,1016,201,1363,29600,23200,192,1498,30000,26600,215,1480,33800,27500,1
University of Alabama at Birmingham,Birmingham,AL,35294-0110,1,3,4,1,1,5,33.50223,-86.80917,15,9,15,0.8569,570,565,NULL,24,25,23,NULL,1107,11383,10331,14789,NULL,NULL,NULL,20621,NULL,7510,17062,NULL,9899,0.5041,23.40861782,3.450000048,391,2961,46300,39700,254,2577,37500,33300,1133,709,735,496,1603,352,2971,40000,30400,386,3197,42000,36900,347,2592,44500,38600,1
Amridge University,Montgomery,AL,36117-3553,1,3,4,2,1,5,32.362609,-86.17401,20,5,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,291,98,NULL,12992,NULL,NULL,16370,NULL,6900,6900,NULL,12459,0.5,33.66163142,3.599999905,51,174,44800,40100,46,145,40100,35200,62,56,27,PrivacySuppressed,PrivacySuppressed,41,172,38700,27800,42,184,39100,36400,41,174,42400,30500,1
University of Alabama in Huntsville,Huntsville,AL,35899,1,3,4,1,1,5,34.722818,-86.63842,16,9,12,0.8203,595,590,NULL,27,28,26,NULL,1219,5451,5220,18596,NULL,NULL,NULL,21107,NULL,9158,21232,NULL,8956,0.475,23.78302361,3.640000105,162,1198,50400,45500,128,1233,39300,35900,478,346,409,187,777,137,1155,43400,27600,162,1353,44900,40900,152,1106,50200,37700,1
Alabama State University,Montgomery,AL,36104-0271,1,3,4,1,1,5,32.364317,-86.295677,19,10,13,0.5326,425,430,NULL,18,17,17,NULL,851,4811,4348,11110,NULL,NULL,NULL,18184,NULL,8720,15656,NULL,7733,0.8812,20.48787062,4.809999943,335,2024,29400,26600,180,1429,22200,20300,871,386,172,613,1223,251,1587,25200,31100,240,1577,25700,23000,297,1810,29400,20000,1
The University of Alabama,Tuscaloosa,AL,35487-0166,1,3,4,1,1,5,33.2144,-87.545766,16,14,16,0.5105,555,565,540,27,28,25,7,1185,29851,15318,20787,NULL,NULL,NULL,26400,NULL,9826,24950,NULL,12791,0.7886,21.30435286,3.25999999,369,3428,48600,41900,272,3938,36500,33200,1063,986,1889,583,3335,292,3088,41700,42100,343,3663,43600,38300,321,3536,47200,49300,1
Central Alabama Community College,Alexander City,AL,35010,1,2,2,1,1,5,32.924429,-85.94653,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1592,1577,6922,NULL,NULL,NULL,12054,NULL,3491,6576,NULL,2100,0.6624,23.94027565,3.75999999,175,789,31400,27500,191,900,25500,23800,586,233,81,215,422,136,747,26600,19600,195,834,28300,24200,151,689,29400,21800,2
Athens State University,Athens,AL,35611,1,3,3,1,1,5,34.805625,-86.96514,22,5,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2991,2662,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5476,NULL,30.01345292,3.380000114,115,858,41600,39000,121,1023,35500,33600,437,393,193,61,230,108,844,37500,23300,141,977,37700,35800,108,758,42100,24500,1
Auburn University at Montgomery,Montgomery,AL,36117-3596,1,3,4,1,1,5,32.369939,-86.177351,18,9,12,0.8017,486,509,NULL,22,22,20,NULL,1009,4304,4098,13431,NULL,NULL,NULL,17903,NULL,9080,19640,NULL,8071,0.5334,22.60947003,3.789999962,194,1301,37700,35000,121,1057,30600,28300,537,290,230,247,624,172,1167,34500,25500,176,1283,33300,31200,176,1182,35500,30300,1
Auburn University,Auburn,AL,36849,1,3,4,1,1,5,32.604685,-85.482782,16,15,15,0.8347,575,588,565,27,28,26,7,1215,20514,18326,18644,NULL,NULL,NULL,25282,NULL,10200,27384,NULL,14135,0.7644,20.53234266,3.140000105,439,4160,52900,45700,215,3321,39900,36400,765,789,1767,411,2919,292,3593,44100,39000,308,3633,46800,41400,394,4116,49700,45900,1
Birmingham Southern College,Birmingham,AL,35254,1,3,3,2,1,5,33.515453,-86.853636,21,14,11,0.5339,560,560,NULL,27,28,26,NULL,1181,1180,1395,NULL,18728,NULL,NULL,45162,NULL,31708,31708,NULL,10266,0.9239,19.70559611,2.839999914,27,287,47100,44200,PrivacySuppressed,206,31400,26600,51,46,109,24,184,25,237,35600,23500,PrivacySuppressed,246,39600,36700,28,238,44700,27600,1
Chattahoochee Valley Community College,Phenix City,AL,36869,1,2,2,1,1,5,32.42391,-85.031485,1,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1727,1748,1315,NULL,NULL,NULL,6860,NULL,4320,7710,NULL,1641,0.4531,25.37292308,3.599999905,179,697,29800,26100,121,619,24400,21000,425,161,33,230,293,186,722,26400,18100,167,772,27400,24500,146,625,30200,21700,2
Concordia College Alabama,Selma,AL,36701,1,3,3,2,1,5,32.42443,-87.023531,22,11,8,0.5328,420,400,NULL,21,21,18,NULL,942,322,532,NULL,12329,NULL,NULL,17603,NULL,10320,10320,NULL,5768,0.1918,21.02425373,5.25,151,487,23700,19900,81,408,21300,19300,334,74,PrivacySuppressed,222,305,75,344,21600,15700,71,338,22100,19100,111,443,23000,15800,1
South University-Montgomery,Montgomery,AL,36116,16,2,4,3,1,5,32.342684,-86.216488,22,7,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,522,207,NULL,23048,NULL,NULL,27870,NULL,16360,16360,NULL,14833,0.2039,30.26096896,3.680000067,303,1407,34100,28800,660,3942,37100,31300,1868,1270,804,159,626,255,1399,33600,27000,286,1714,37800,31200,222,1159,34900,27200,1
Enterprise State Community College,Enterprise,AL,36330-1300,1,2,2,1,1,5,31.297496,-85.836956,8,2,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1729,1590,3762,NULL,NULL,NULL,8676,NULL,3976,7140,NULL,2055,0.3882,24.98635058,3.859999895,140,623,29800,24600,121,702,31100,24700,465,186,51,184,348,174,769,32200,26400,174,793,37000,28100,134,651,29000,21600,2
James H Faulkner State Community College,Bay Minette,AL,36507-2698,1,2,2,1,1,5,30.852045,-87.779758,1,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4286,2775,6675,NULL,NULL,NULL,11194,NULL,4260,7650,NULL,2423,0.5212,24.24797688,3.440000057,301,1346,31800,28700,179,1232,26900,23700,677,345,210,310,729,248,1332,28500,19600,250,1352,29700,25900,237,1104,31300,22000,2
Faulkner University,Montgomery,AL,36109-3390,1,3,4,2,1,5,32.384181,-86.21641,20,9,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2367,612,NULL,20240,NULL,NULL,30116,NULL,18750,18750,NULL,11127,0.3494,27.98711063,3.920000076,238,1252,42800,37200,156,1066,33600,29100,487,327,252,81,365,154,1137,38700,29700,164,1158,37800,33600,217,1284,42500,30500,1
Gadsden State Community College,Gadsden,AL,35903,1,2,2,1,1,5,33.991866,-85.991299,8,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4917,4787,4352,NULL,NULL,NULL,10243,NULL,3168,5880,NULL,1702,0.5628,24.71793331,3.460000038,645,2104,29200,25700,364,1574,22800,20000,1233,333,PrivacySuppressed,552,760,592,2347,25700,18500,440,1804,26800,23400,380,1398,29000,20000,2
New Beginning College of Cosmetology,Albertville,AL,35951,1,1,1,3,1,5,34.27871,-86.196931,-2,-2,-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,115,NULL,NULL,9991,NULL,NULL,NULL,12994,NULL,NULL,10050,7986,NULL,24.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
